시군구,번지,본번,부번,단지명,단지명길이,전용면적(㎡),계약년월,계약년,계약월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202101,2021,1,4,"26,000",7,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202102,2021,2,26,"27,200",7,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202103,2021,3,4,"28,200",14,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202103,2021,3,12,"27,500",4,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202103,2021,3,25,"29,700",8,2003,화개중앙로87번길 16-3,20210527.0,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202103,2021,3,29,"26,500",1,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202104,2021,4,16,"29,500",12,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202101,2021,1,2,"41,000",1,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202101,2021,1,13,"47,000",5,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202102,2021,2,3,"47,900",13,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202102,2021,2,9,"48,000",9,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202102,2021,2,15,"47,100",7,2017,화개중앙로87번길 15,20210423.0,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202102,2021,2,24,"43,500",15,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202102,2021,2,27,"48,800",12,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202103,2021,3,13,"49,000",17,2017,화개중앙로87번길 15,20210520.0,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202103,2021,3,16,"48,450",18,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202103,2021,3,26,"48,000",11,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202103,2021,3,26,"48,500",17,2017,화개중앙로87번길 15,20210423.0,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202002,2020,2,8,"27,000",4,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202002,2020,2,18,"26,000",5,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202004,2020,4,15,"27,900",8,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202006,2020,6,26,"28,000",7,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202008,2020,8,6,"26,700",5,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202009,2020,9,9,"26,000",13,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202009,2020,9,24,"28,800",13,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202010,2020,10,13,"25,500",8,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202010,2020,10,24,"28,500",14,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202011,2020,11,24,"28,700",10,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202012,2020,12,8,"26,150",9,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202012,2020,12,19,"27,950",9,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202012,2020,12,20,"26,200",4,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202012,2020,12,21,"27,000",7,2003,화개중앙로87번길 16-3,,-,-
광주광역시 서구 매월동,1077,1077,0,EG스위트밸리,7,84.439,202012,2020,12,31,"28,450",9,2003,화개중앙로87번길 16-3,20210503.0,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202001,2020,1,11,"40,600",7,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202001,2020,1,13,"37,900",1,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202001,2020,1,14,"39,000",5,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202001,2020,1,15,"38,500",4,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202001,2020,1,30,"42,500",9,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202001,2020,1,30,"38,700",5,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7741,202002,2020,2,8,"41,400",16,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202002,2020,2,11,"40,600",7,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202002,2020,2,24,"40,800",6,2017,화개중앙로87번길 15,,-,-
광주광역시 서구 매월동,1110,1110,0,매월동아델리움로제비앙,11,84.7681,202003,2020,3,4,"38,000",2,2017,화개중앙로87번길 15,,-,-
