시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
광주광역시 광산구 도산동,1138-2,1138,2,대덕1,31.59,202307,27,"5,500",8,1990,송도로 143,,20230801,중개거래,광주 광산구
광주광역시 광산구 도산동,1138-2,1138,2,대덕1,39.15,202307,28,"7,200",7,1990,송도로 143,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,790,790,0,대주피오레1차,84.98,202307,5,"23,250",4,2000,송도로182번길 55,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1081,1081,0,서경,59.79,202307,13,"14,200",11,1998,도산로 28,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1281-5,1281,5,서라,59.31,202307,13,"12,300",12,1997,남동길48번길 15,,20230728,중개거래,광주 광산구
광주광역시 광산구 도산동,1317,1317,0,송정우방아이유쉘아파트,70.9225,202307,8,"31,500",12,2019,평동로1100번길 71,,20230717,중개거래,광주 광산구
광주광역시 광산구 도산동,1317,1317,0,송정우방아이유쉘아파트,84.9538,202307,21,"43,000",12,2019,평동로1100번길 71,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1314,1314,0,우방아이유쉘,59.7926,202307,8,"22,700",10,2016,평동로1098번길 185,,20230803,중개거래,광주 광산구
광주광역시 광산구 도산동,1314,1314,0,우방아이유쉘,59.8407,202307,23,"23,000",10,2016,평동로1098번길 185,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1314,1314,0,우방아이유쉘,59.5443,202307,27,"22,000",3,2016,평동로1098번길 185,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1314,1314,0,우방아이유쉘,79.6397,202307,28,"30,900",12,2016,평동로1098번길 185,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1314,1314,0,우방아이유쉘,79.6397,202307,28,"30,900",12,2016,평동로1098번길 185,20230803, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1314,1314,0,우방아이유쉘,79.6397,202307,29,"29,300",7,2016,평동로1098번길 185,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,826,826,0,카이스트빌1차,34.0522,202307,31,"8,600",9,2002,송도로182번길 15-11,, ,중개거래,광주 동구
광주광역시 광산구 도산동,1136-1,1136,1,호반1,59.95,202307,8,"10,000",2,1995,도산로9번길 35,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,1136-1,1136,1,호반1,59.95,202307,18,"13,000",12,1995,도산로9번길 35,, ,중개거래,광주 광산구
광주광역시 광산구 도산동,782,782,0,호반2차,59.95,202307,12,"13,000",5,1998,송도로162번길 11-6,,20230713,직거래,-
