변환,원자료
202307,3.5
202306,3.5
202305,3.5
202304,3.5
202303,3.5
202302,3.5
202301,3.5
202312,3.25
202311,3.25
202310,3
202309,2.5
202308,2.5
202307,2.25
202306,1.75
202305,1.75
202304,1.5
202303,1.25
202302,1.25
202301,1.25
202312,1
202311,1
202310,0.75
202309,0.75
202308,0.75
202307,0.5
202306,0.5
202305,0.5
202304,0.5
202303,0.5
202302,0.5
202301,0.5
202312,0.5
202311,0.5
202310,0.5
202309,0.5
202308,0.5
202307,0.5
202306,0.5
202305,0.5
202304,0.75
202303,0.75
202302,1.25
202301,1.25
202312,1.25
202311,1.25
202310,1.25
202309,1.5
202308,1.5
202307,1.5
202306,1.75
202305,1.75
202304,1.75
202303,1.75
202302,1.75
202301,1.75
202312,1.75
202311,1.75
202310,1.5
202309,1.5
202308,1.5
202307,1.5
202306,1.5
202305,1.5
202304,1.5
202303,1.5
202302,1.5
202301,1.5
202312,1.5
202311,1.5
202310,1.25
202309,1.25
202308,1.25
202307,1.25
202306,1.25
202305,1.25
202304,1.25
202303,1.25
202302,1.25
202301,1.25
202312,1.25
202311,1.25
202310,1.25
202309,1.25
202308,1.25
202307,1.25
202306,1.25
202305,1.5
202304,1.5
202303,1.5
202302,1.5
202301,1.5
202312,1.5
202311,1.5
202310,1.5
202309,1.5
202308,1.5
202307,1.5
202306,1.5
202305,1.75
202304,1.75
202303,1.75
202302,2
202301,2
202312,2
202311,2
202310,2
202309,2.25
202308,2.25
202307,2.5
202306,2.5
202305,2.5
202304,2.5
202303,2.5
202302,2.5
202301,2.5
202312,2.5
202311,2.5
202310,2.5
202309,2.5
202308,2.5
202307,2.5
202306,2.5
202305,2.5
202304,2.75
202303,2.75
202302,2.75
202301,2.75
202312,2.75
202311,2.75
202310,2.75
202309,3
202308,3
202307,3
202306,3.25
202305,3.25
202304,3.25
202303,3.25
202302,3.25
202301,3.25
202312,3.25
202311,3.25
202310,3.25
202309,3.25
202308,3.25
202307,3.25
202306,3.25
202305,3
202304,3
202303,3
202302,2.75
202301,2.75
202312,2.5
202311,2.5
202310,2.25
202309,2.25
202308,2.25
202307,2.25
202306,2
202305,2
202304,2
202303,2
202302,2
202301,2
202312,2
202311,2
202310,2
202309,2
202308,2
202307,2
202306,2
202305,2
202304,2
202303,2
202302,2
202301,2.5
202312,3
202311,4
202310,4.25
202309,5.25
202308,5.25
202307,5
202306,5
202305,5
202304,5
202303,5
202302,5
202301,5
202312,5
202311,5
202310,5
202309,5
202308,5
202307,4.75
202306,4.5
202305,4.5
202304,4.5
202303,4.5
202302,4.5
202301,4.5
202312,4.5
202311,4.5
202310,4.5
202309,4.5
202308,4.5
202307,4.25
202306,4.25
202305,4
202304,4
202303,4
202302,4
202301,3.75
