,시군구,단지명,전용면적(㎡),계약년월,계약일,계약날짜,층,건축나이,거래건수,기준금리,법정동코드,지하철역수,거래금액(만원),예측 금액
572,광주광역시 북구 각화동,각화골드클래스,84.9701,202307,1,2023-07-01,6,6,25,3.5,2917011300,0,"36,800",38228.17455664836
65,광주광역시 광산구 소촌동,모아드림타운1차,36.3544,202307,1,2023-07-01,7,23,17,3.5,2920010800,0,"8,300",16995.655465761665
397,광주광역시 남구 봉선동,주월동이지더원3단지,84.9381,202307,1,2023-07-01,4,11,39,3.5,2915511500,0,"39,000",36104.61192710232
122,광주광역시 광산구 신가동,수완지구호반베르디움1차,84.884,202307,1,2023-07-01,10,11,35,3.5,2920011900,0,"65,000",34886.25205157511
400,광주광역시 남구 봉선동,포스코더샵,59.89,202307,1,2023-07-01,10,19,39,3.5,2915511500,0,"38,000",26455.375712406356
401,광주광역시 남구 봉선동,포스코더샵,59.89,202307,1,2023-07-01,5,19,39,3.5,2915511500,0,"38,800",26124.53429196123
287,광주광역시 광산구 월계동,첨단라인8,59.9,202307,1,2023-07-01,4,26,18,3.5,2920011500,0,"20,500",20970.617088720668
393,광주광역시 남구 봉선동,쌍용스윗닷홈,155.6351,202307,1,2023-07-01,13,18,39,3.5,2915511500,0,"145,000",50240.61766374577
771,광주광역시 북구 연제동,한국아델리움,84.545,202307,1,2023-07-01,8,22,21,3.5,2917012900,0,"21,500",30248.2679642085
774,광주광역시 북구 연제동,힐스테이트연제,84.9934,202307,1,2023-07-01,8,3,21,3.5,2917012900,0,"48,500",39872.272450325545
793,광주광역시 북구 오치동,주공,52.09,202307,1,2023-07-01,3,31,23,3.5,2917011500,0,"9,000",17582.80171692185
1069,광주광역시 서구 치평동,해광한신,59.99,202307,1,2023-07-01,14,25,32,3.5,2914012000,0,"21,000",24281.78840627102
601,광주광역시 북구 동림동,동림푸른주공3,59.99,202307,1,2023-07-01,3,26,22,3.5,2917010800,0,"12,000",21993.118879854213
964,광주광역시 서구 농성동,농성SKVIEWCentral,84.9752,202307,1,2023-07-01,26,4,12,3.5,2914010600,2,"60,000",41639.28697837284
267,광주광역시 광산구 운남동,운남주공8단지,59.41,202307,1,2023-07-01,11,23,31,3.5,2920012000,0,"18,700",22804.307728764135
56,광주광역시 광산구 산정동,하남2지구중흥S-클래스,84.9924,202307,1,2023-07-01,19,10,19,3.5,2920012700,0,"42,700",36025.27822413249
1078,광주광역시 서구 풍암동,광명메이루즈,121.0522,202307,1,2023-07-01,6,10,26,3.5,2914012800,0,"57,500",45994.225033776835
750,광주광역시 북구 양산동,새봄,59.97,202307,1,2023-07-01,2,27,14,3.5,2917012800,0,"9,400",21428.990023384336
112,광주광역시 광산구 수완동,코오롱하늘채,103.71,202307,1,2023-07-01,10,15,17,3.5,2920011400,0,"67,000",37441.30682495935
685,광주광역시 북구 본촌동,힐스테이트본촌,84.9976,202307,1,2023-07-01,4,4,15,3.5,2917012600,0,"47,200",39114.19187269686
681,광주광역시 북구 본촌동,부영사랑으로,84.9931,202307,1,2023-07-01,22,16,15,3.5,2917012600,0,"33,300",34294.10204881942
358,광주광역시 남구 백운동,대주,84.97,202307,1,2023-07-01,2,34,13,3.5,2915510500,0,"20,050",24488.431045823265
343,광주광역시 광산구 흑석동,수완이지더원,59.8832,202307,1,2023-07-01,14,11,6,3.5,2920012400,0,"31,000",29153.088100376073
342,광주광역시 광산구 흑석동,수완이지더원,59.8832,202307,1,2023-07-01,4,11,6,3.5,2920012400,0,"29,000",28491.405259486753
