code,month6,year1,year2,year3
2920011700,35269.4,36766.22,38358.59,39950.95
2920010100,35269.97,36766.79,38359.16,39951.52
2915510800,36876.11,38372.93,39965.3,41557.66
2917010800,36340.65,37837.47,39429.83,41022.2
2917011400,36340.43,37837.26,39429.62,41021.98
2917011600,36340.36,37837.18,39429.55,41021.91
2917012900,36339.9,37836.72,39429.08,41021.45
2917011500,36340.4,37837.22,39429.58,41021.95
2917013100,36339.83,37836.65,39429.01,41021.38
2917010700,36340.68,37837.51,39429.87,41022.23
2914013000,37410.79,38907.61,40499.97,42092.34
2914012100,37411.11,38907.93,40500.3,42092.66
2914011800,37411.22,38908.04,40500.4,42092.77
2920010900,35269.69,36766.51,38358.87,39951.24
2920012000,35269.29,36766.12,38358.48,39950.84
2915511500,36875.86,38372.68,39965.05,41557.41
2915510600,36876.18,38373,39965.37,41557.73
2917012700,36339.97,37836.79,39429.16,41021.52
2914010400,37411.72,38908.54,40500.9,42093.27
2914011600,37411.29,38908.11,40500.47,42092.84
2914012000,37411.15,38907.97,40500.33,42092.69
2914011900,37411.18,38908,40500.37,42092.73
2920010200,35269.94,36766.76,38359.12,39951.49
2920011500,35269.47,36766.29,38358.66,39951.02
2915510400,36876.25,38373.08,39965.44,41557.8
2911010900,38482.46,39979.29,41571.65,43164.01
2917013000,36339.86,37836.68,39429.05,41021.41
2917010900,36340.61,37837.43,39429.8,41022.16
2920011900,35269.33,36766.15,38358.52,39950.88
2920011800,35269.37,36766.19,38358.55,39950.92
2917012800,36339.93,37836.76,39429.12,41021.48
2914012800,37410.86,38907.68,40500.05,42092.41
2920012800,35269.01,36765.83,38358.19,39950.56
2917011200,36340.51,37837.33,39429.69,41022.05
2920011300,35269.54,36766.37,38358.73,39951.09
2920011200,35269.58,36766.4,38358.77,39951.13
2915510500,36876.22,38373.04,39965.4,41557.77
2917010100,36340.9,37837.72,39430.08,41022.45
2915511400,36875.9,38372.72,39965.08,41557.45
2917010600,36340.72,37837.54,39429.91,41022.27
2917011000,36340.58,37837.4,39429.76,41022.13
2911012100,38482.04,39978.86,41571.22,43163.58
2917011300,36340.47,37837.29,39429.66,41022.02
2917010500,36340.76,37837.58,39429.94,41022.3
2920010800,35269.72,36766.54,38358.91,39951.27
2911011000,38482.43,39979.25,41571.61,43163.98
2911012600,38481.86,39978.68,41571.04,43163.41
2911012200,38482,39978.82,41571.19,43163.55
2917011700,36340.33,37837.15,39429.51,41021.88
2920012700,35269.04,36765.87,38358.23,39950.59
2915511200,36875.97,38372.79,39965.15,41557.52
2911011100,38482.39,39979.21,41571.58,43163.94
2911013300,38481.61,39978.43,41570.79,43163.16
2911011900,38482.11,39978.93,41571.29,43163.66
2914010600,37411.65,38908.47,40500.83,42093.19
2920010600,35269.79,36766.62,38358.98,39951.34
2911010800,38482.5,39979.32,41571.68,43164.05
2914011500,37411.32,38908.15,40500.51,42092.87
2914013200,37410.72,38907.54,40499.9,42092.27
2917011100,36340.54,37837.36,39429.73,41022.09
2915511300,36875.93,38372.75,39965.12,41557.48
2920010400,35269.87,36766.69,38359.05,39951.41
2915510300,36876.29,38373.11,39965.48,41557.84
2911013200,38481.64,39978.46,41570.83,43163.19
2915510100,36876.36,38373.18,39965.55,41557.91
2917012600,36340.01,37836.83,39429.19,41021.55
2914013100,37410.75,38907.57,40499.94,42092.3
2915510700,36876.15,38372.97,39965.33,41557.7
2920011400,35269.51,36766.33,38358.69,39951.06
2915512000,36875.68,38372.5,39964.87,41557.23
2920012300,35269.19,36766.01,38358.37,39950.74
2920012400,35269.15,36765.97,38358.34,39950.7
2911010400,38482.64,39979.46,41571.83,43164.19
2914013300,37410.68,38907.5,40499.87,42092.23
2920011600,35269.44,36766.26,38358.62,39950.99
2920010700,35269.76,36766.58,38358.94,39951.31
2915511000,36876.04,38372.86,39965.23,41557.59
2911010200,38482.71,39979.54,41571.9,43164.26
2920012500,35269.12,36765.94,38358.3,39950.67
2911013000,38481.71,39978.54,41570.9,43163.26
2911012300,38481.96,39978.79,41571.15,43163.51
2917010400,36340.79,37837.61,39429.98,41022.34
2911010100,38482.75,39979.57,41571.93,43164.3
2915511100,36876,38372.83,39965.19,41557.55
2917010200,36340.86,37837.68,39430.05,41022.41
2915512100,36875.65,38372.47,39964.83,41557.2
