변환,원자료
2023/06,3.5
2023/05,3.5
2023/04,3.5
2023/03,3.5
2023/02,3.5
2023/01,3.5
2022/12,3.25
2022/11,3.25
2022/10,3
2022/09,2.5
2022/08,2.5
2022/07,2.25
2022/06,1.75
2022/05,1.75
2022/04,1.5
2022/03,1.25
2022/02,1.25
2022/01,1.25
2021/12,1
2021/11,1
2021/10,0.75
2021/09,0.75
2021/08,0.75
2021/07,0.5
2021/06,0.5
2021/05,0.5
2021/04,0.5
2021/03,0.5
2021/02,0.5
2021/01,0.5
2020/12,0.5
2020/11,0.5
2020/10,0.5
2020/09,0.5
2020/08,0.5
2020/07,0.5
2020/06,0.5
2020/05,0.5
2020/04,0.75
2020/03,0.75
2020/02,1.25
2020/01,1.25
2019/12,1.25
2019/11,1.25
2019/10,1.25
2019/09,1.5
2019/08,1.5
2019/07,1.5
2019/06,1.75
2019/05,1.75
2019/04,1.75
2019/03,1.75
2019/02,1.75
2019/01,1.75
2018/12,1.75
2018/11,1.75
2018/10,1.5
2018/09,1.5
2018/08,1.5
2018/07,1.5
2018/06,1.5
2018/05,1.5
2018/04,1.5
2018/03,1.5
2018/02,1.5
2018/01,1.5
2017/12,1.5
2017/11,1.5
2017/10,1.25
2017/09,1.25
2017/08,1.25
2017/07,1.25
2017/06,1.25
2017/05,1.25
2017/04,1.25
2017/03,1.25
2017/02,1.25
2017/01,1.25
2016/12,1.25
2016/11,1.25
2016/10,1.25
2016/09,1.25
2016/08,1.25
2016/07,1.25
2016/06,1.25
2016/05,1.5
2016/04,1.5
2016/03,1.5
2016/02,1.5
2016/01,1.5
2015/12,1.5
2015/11,1.5
2015/10,1.5
2015/09,1.5
2015/08,1.5
2015/07,1.5
2015/06,1.5
2015/05,1.75
2015/04,1.75
2015/03,1.75
2015/02,2
2015/01,2
2014/12,2
2014/11,2
2014/10,2
2014/09,2.25
2014/08,2.25
2014/07,2.5
2014/06,2.5
2014/05,2.5
2014/04,2.5
2014/03,2.5
2014/02,2.5
2014/01,2.5
2013/12,2.5
2013/11,2.5
2013/10,2.5
2013/09,2.5
2013/08,2.5
2013/07,2.5
2013/06,2.5
2013/05,2.5
2013/04,2.75
2013/03,2.75
2013/02,2.75
2013/01,2.75
2012/12,2.75
2012/11,2.75
2012/10,2.75
2012/09,3
2012/08,3
2012/07,3
2012/06,3.25
2012/05,3.25
2012/04,3.25
2012/03,3.25
2012/02,3.25
2012/01,3.25
2011/12,3.25
2011/11,3.25
2011/10,3.25
2011/09,3.25
2011/08,3.25
2011/07,3.25
2011/06,3.25
2011/05,3
2011/04,3
2011/03,3
2011/02,2.75
2011/01,2.75
2010/12,2.5
2010/11,2.5
2010/10,2.25
2010/09,2.25
2010/08,2.25
2010/07,2.25
2010/06,2
2010/05,2
2010/04,2
2010/03,2
2010/02,2
2010/01,2
2009/12,2
2009/11,2
2009/10,2
2009/09,2
2009/08,2
2009/07,2
2009/06,2
2009/05,2
2009/04,2
2009/03,2
2009/02,2
2009/01,2.5
2008/12,3
2008/11,4
2008/10,4.25
2008/09,5.25
2008/08,5.25
2008/07,5
2008/06,5
2008/05,5
2008/04,5
2008/03,5
2008/02,5
2008/01,5
2007/12,5
2007/11,5
2007/10,5
2007/09,5
2007/08,5
2007/07,4.75
2007/06,4.5
2007/05,4.5
2007/04,4.5
2007/03,4.5
2007/02,4.5
2007/01,4.5
2006/12,4.5
2006/11,4.5
2006/10,4.5
2006/09,4.5
2006/08,4.5
2006/07,4.25
2006/06,4.25
2006/05,4
2006/04,4
2006/03,4
2006/02,4
2006/01,3.75
